epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,443.294,0.38892,0.29194,0.86626,0.96768,0.91026,0.94682,0.76616,0.74001,0.40222,1.07061,0.00109,0.00109,0.00109
110,447.367,0.40603,0.30231,0.86988,0.9717,0.91026,0.95285,0.76373,0.74881,0.39874,1.06889,0.0010075,0.0010075,0.0010075
111,463.686,0.3978,0.30334,0.85834,0.98604,0.90544,0.95217,0.75051,0.75656,0.40459,1.07414,0.000925,0.000925,0.000925
112,467.727,0.39335,0.29819,0.84072,0.98608,0.9082,0.95232,0.75249,0.74831,0.40608,1.07358,0.0008425,0.0008425,0.0008425
113,471.784,0.39123,0.2936,0.85713,0.98041,0.91026,0.95387,0.75699,0.74542,0.40466,1.07636,0.00076,0.00076,0.00076
114,475.723,0.37234,0.29182,0.82985,0.99967,0.89744,0.95795,0.75536,0.73698,0.39487,1.07135,0.0006775,0.0006775,0.0006775
115,479.533,0.35504,0.27766,0.82769,0.99812,0.91026,0.95844,0.75703,0.74024,0.39667,1.07866,0.000595,0.000595,0.000595
116,483.374,0.36082,0.27215,0.84361,0.9946,0.91026,0.96726,0.75718,0.74529,0.39942,1.08489,0.0005125,0.0005125,0.0005125
117,487.236,0.35942,0.28069,0.85318,0.9981,0.91026,0.96774,0.75707,0.74078,0.38966,1.07922,0.00043,0.00043,0.00043
118,490.968,0.34163,0.27678,0.8433,0.99908,0.91026,0.95989,0.76593,0.74228,0.38718,1.07896,0.0003475,0.0003475,0.0003475
119,494.734,0.35036,0.27363,0.85189,0.98237,0.91026,0.95825,0.76623,0.7439,0.39123,1.07611,0.000265,0.000265,0.000265
120,498.477,0.349,0.27144,0.82735,1,0.90677,0.95979,0.76676,0.7449,0.39118,1.07405,0.0001825,0.0001825,0.0001825
